dist_type,n,rep,gamma,min_size,ARI,Hausdorff,Distortion,SSE,n_iter,converged
gaussian,2000,0,0.0005102448804738581,1,1.0,0.0485819230646,1.9872991394630453,3974.5982789260906,3,True
gaussian,2000,0,0.0008302068151672312,1,1.0,0.0485819230646,1.9872991394630453,3974.5982789260906,3,True
gaussian,2000,0,0.0013784867119002347,2,1.0,0.0485819230646,1.9872991394630453,3974.5982789260906,3,True
gaussian,2000,0,0.0022888581256740852,4,1.0,0.0485819230646,1.9872991394630453,3974.5982789260906,3,True
gaussian,2000,0,0.003102763313432115,6,1.0,0.0485819230646,1.9872991394630453,3974.5982789260906,3,True
gaussian,2000,0,0.003800451229771041,7,1.0,0.0485819230646,1.9872991394630453,3974.5982789260906,3,True
gaussian,2000,0,0.02888685909973644,57,1.0,0.0485819230646,1.9872991394630453,3974.5982789260906,3,True
gaussian,2000,0,0.21956619837963226,439,1.0,0.0485819230646,1.9872991394630453,3974.5982789260906,3,True
gaussian,2000,1,0.0005102448804738581,1,1.0,0.06342172930011154,1.9401513112049074,3880.302622409815,2,True
gaussian,2000,1,0.0008302068151672312,1,1.0,0.06342172930011154,1.9401513112049074,3880.302622409815,2,True
gaussian,2000,1,0.0013784867119002347,2,1.0,0.06342172930011154,1.9401513112049074,3880.302622409815,2,True
gaussian,2000,1,0.0022888581256740852,4,1.0,0.06342172930011154,1.9401513112049074,3880.302622409815,2,True
gaussian,2000,1,0.003102763313432115,6,1.0,0.06342172930011154,1.9401513112049074,3880.302622409815,2,True
gaussian,2000,1,0.003800451229771041,7,1.0,0.06342172930011154,1.9401513112049074,3880.302622409815,2,True
gaussian,2000,1,0.02888685909973644,57,1.0,0.06342172930011154,1.9401513112049074,3880.302622409815,2,True
gaussian,2000,1,0.21956619837963226,439,1.0,0.06342172930011154,1.9401513112049074,3880.302622409815,2,True
gaussian,2000,2,0.0005102448804738581,1,1.0,0.06426722987314584,2.0100143191031603,4020.0286382063205,2,True
gaussian,2000,2,0.0008302068151672312,1,1.0,0.06426722987314584,2.0100143191031603,4020.0286382063205,2,True
gaussian,2000,2,0.0013784867119002347,2,1.0,0.06426722987314584,2.0100143191031603,4020.0286382063205,2,True
gaussian,2000,2,0.0022888581256740852,4,1.0,0.06426722987314584,2.0100143191031603,4020.0286382063205,2,True
gaussian,2000,2,0.003102763313432115,6,1.0,0.06426722987314584,2.0100143191031603,4020.0286382063205,2,True
gaussian,2000,2,0.003800451229771041,7,1.0,0.06426722987314584,2.0100143191031603,4020.0286382063205,2,True
gaussian,2000,2,0.02888685909973644,57,1.0,0.06426722987314584,2.0100143191031603,4020.0286382063205,2,True
gaussian,2000,2,0.21956619837963226,439,1.0,0.06426722987314584,2.0100143191031603,4020.0286382063205,2,True
gaussian,2000,3,0.0005102448804738581,1,0.9979999995005004,0.08896080237467142,2.074148947732458,4148.297895464916,4,True
gaussian,2000,3,0.0008302068151672312,1,0.9979999995005004,0.08896080237467142,2.074148947732458,4148.297895464916,4,True
gaussian,2000,3,0.0013784867119002347,2,0.9979999995005004,0.08896080237467142,2.074148947732458,4148.297895464916,4,True
gaussian,2000,3,0.0022888581256740852,4,0.9979999995005004,0.08896080237467142,2.074148947732458,4148.297895464916,4,True
gaussian,2000,3,0.003102763313432115,6,0.9979999995005004,0.08896080237467142,2.074148947732458,4148.297895464916,4,True
gaussian,2000,3,0.003800451229771041,7,0.9979999995005004,0.08896080237467142,2.074148947732458,4148.297895464916,4,True
gaussian,2000,3,0.02888685909973644,57,0.9979999995005004,0.08896080237467142,2.074148947732458,4148.297895464916,4,True
gaussian,2000,3,0.21956619837963226,439,0.9979999995005004,0.08896080237467142,2.074148947732458,4148.297895464916,4,True
gaussian,2000,4,0.0005102448804738581,1,1.0,0.046639044283227654,1.932838852896209,3865.6777057924182,3,True
gaussian,2000,4,0.0008302068151672312,1,1.0,0.046639044283227654,1.932838852896209,3865.6777057924182,3,True
gaussian,2000,4,0.0013784867119002347,2,1.0,0.046639044283227654,1.932838852896209,3865.6777057924182,3,True
gaussian,2000,4,0.0022888581256740852,4,1.0,0.046639044283227654,1.932838852896209,3865.6777057924182,3,True
gaussian,2000,4,0.003102763313432115,6,1.0,0.046639044283227654,1.932838852896209,3865.6777057924182,3,True
gaussian,2000,4,0.003800451229771041,7,1.0,0.046639044283227654,1.932838852896209,3865.6777057924182,3,True
gaussian,2000,4,0.02888685909973644,57,1.0,0.046639044283227654,1.932838852896209,3865.6777057924182,3,True
gaussian,2000,4,0.21956619837963226,439,1.0,0.046639044283227654,1.932838852896209,3865.6777057924182,3,True
gaussian,2000,5,0.0005102448804738581,1,1.0,0.050073659954777305,2.0367089962504314,4073.4179925008625,3,True
gaussian,2000,5,0.0008302068151672312,1,1.0,0.050073659954777305,2.0367089962504314,4073.4179925008625,3,True
gaussian,2000,5,0.0013784867119002347,2,1.0,0.050073659954777305,2.0367089962504314,4073.4179925008625,3,True
gaussian,2000,5,0.0022888581256740852,4,1.0,0.050073659954777305,2.0367089962504314,4073.4179925008625,3,True
gaussian,2000,5,0.003102763313432115,6,1.0,0.050073659954777305,2.0367089962504314,4073.4179925008625,3,True
gaussian,2000,5,0.003800451229771041,7,1.0,0.050073659954777305,2.0367089962504314,4073.4179925008625,3,True
gaussian,2000,5,0.02888685909973644,57,1.0,0.050073659954777305,2.0367089962504314,4073.4179925008625,3,True
gaussian,2000,5,0.21956619837963226,439,1.0,0.050073659954777305,2.0367089962504314,4073.4179925008625,3,True
