k,n,gamma,ARI,min_cluster_size,max_cluster_size,size_ratio,size_std,inertia
3,500,0.0,1.0,166,168,0.9880952380952381,0.9428090415820634,4411.024781626857
3,500,0.1,0.20454606414982662,0,329,0.0,134.34863436431186,46220.50503671328
3,500,0.2,0.5425160277776999,1,331,0.0030211480362537764,134.72523478876883,30851.396830377318
3,500,0.30000000000000004,0.49461357372988596,0,332,0.0,135.5417114970722,35101.73754186877
3,500,0.4,0.21805289798020924,0,333,0.0,135.94688505278654,45427.89604711118
3,500,0.5,0.13018891108564193,0,334,0.0,136.35574387934264,50192.63605491104
3,500,0.6000000000000001,0.19924322703292696,0,333,0.0,135.94688505278654,45658.690559157345
3,500,0.7000000000000001,0.21557794127661947,0,333,0.0,135.94688505278654,46851.06353669005
3,500,0.8,0.49654740105164824,0,333,0.0,135.94688505278654,34342.05832011956
3,500,0.9,0.1563646021432342,0,333,0.0,135.94688505278654,48173.09352612803
3,500,1.0,0.2319745294379017,0,333,0.0,135.94688505278654,43522.37066643215
3,1000,0.0,0.9969970000481382,332,335,0.991044776119403,1.247219128924647,4574.014202801997
3,1000,0.1,0.5410749817812462,0,664,0.0,271.0834229941444,58512.75680044298
3,1000,0.2,0.536360082989888,0,666,0.0,271.8937701055731,57739.91940010203
3,1000,0.30000000000000004,0.5263325965525656,0,666,0.0,271.8937701055731,58619.45529409399
3,1000,0.4,0.536360082989888,0,666,0.0,271.8937701055731,57739.91940010203
3,1000,0.5,0.0947485174624733,0,667,0.0,272.3017117504446,96292.42849970631
3,1000,0.6000000000000001,0.5353279198012824,0,667,0.0,272.3017117504446,58453.77227593216
3,1000,0.7000000000000001,0.16965203516795832,0,667,0.0,272.3017117504446,90216.9148103548
3,1000,0.8,0.5353279198012824,0,667,0.0,272.3017117504446,58453.77227593216
3,1000,0.9,0.5353279198012824,0,667,0.0,272.3017117504446,56875.87724098119
3,1000,1.0,0.1318682297934286,0,667,0.0,272.3017117504446,93855.8893722946
3,2000,0.0,0.9970011332720541,664,669,0.992526158445441,2.0548046676563256,7309.233122359728
3,2000,0.1,0.5281193369933321,0,1334,0.0,544.6034235008892,115677.15428301571
3,2000,0.2,0.16128669453693142,0,1334,0.0,544.6034235008892,179444.45316983265
3,2000,0.30000000000000004,0.4260734602181121,0,1334,0.0,544.6034235008892,130183.88372448117
3,2000,0.4,0.5380595971019715,0,1334,0.0,544.6034235008892,114297.44306640084
3,2000,0.5,0.5058568936365961,0,1333,0.0,544.1950222321243,116020.29361090963
3,2000,0.6000000000000001,0.09656309872862115,0,1334,0.0,544.6034235008892,189188.98817538598
3,2000,0.7000000000000001,0.15966985875062714,0,1334,0.0,544.6034235008892,177631.15397822234
3,2000,0.8,0.17014649159028386,0,1334,0.0,544.6034235008892,176454.23044558847
3,2000,0.9,0.5112679721274828,0,1334,0.0,544.6034235008892,114892.81694322792
3,2000,1.0,0.48316049750351975,0,1334,0.0,544.6034235008892,119163.7036421124
5,500,0.0,0.7127040265232776,39,197,0.19796954314720813,54.147945482723536,7865.621151400523
5,500,0.1,0.016745691230661212,0,202,0.0,89.89771965962207,49202.53163274871
5,500,0.2,0.2089669800492441,0,199,0.0,88.78513389075898,47947.90914247943
5,500,0.30000000000000004,0.30382399889012107,0,200,0.0,89.22107374381906,45452.12879767375
5,500,0.4,0.19526103795507357,0,200,0.0,89.44271909999159,48637.801542586814
5,500,0.5,0.14692592196152005,0,201,0.0,89.66827755678148,45607.18903906365
5,500,0.6000000000000001,0.20761573485842638,0,201,0.0,89.66827755678148,40219.8218995622
5,500,0.7000000000000001,0.10446700232378002,0,200,0.0,89.44271909999159,48658.09521747225
5,500,0.8,0.0739977689320951,0,201,0.0,89.66827755678148,47452.30378696029
5,500,0.9,0.24085614764738078,0,201,0.0,89.66827755678148,42983.34732932868
5,500,1.0,0.14149821976289031,0,201,0.0,89.89549488155677,42335.26837799729
5,1000,0.0,0.7298248085193861,46,393,0.11704834605597965,112.27288185488071,17856.961618041372
5,1000,0.1,0.06567447221730373,0,400,0.0,178.6628109036685,104881.55809716937
5,1000,0.2,0.21914479194305778,0,401,0.0,179.335439888495,97710.93567734896
5,1000,0.30000000000000004,0.18500892867814914,0,401,0.0,179.11002205348532,100561.0784668193
5,1000,0.4,0.07982051139715704,0,401,0.0,179.11002205348532,99083.00318429894
5,1000,0.5,0.08140040886341611,0,401,0.0,179.11002205348532,102974.34122441716
5,1000,0.6000000000000001,0.20221439742655575,0,401,0.0,179.11002205348532,94828.60516319812
5,1000,0.7000000000000001,0.33931437668853726,0,400,0.0,178.88543819998318,92028.83599182803
5,1000,0.8,0.17608525665766114,0,400,0.0,178.88543819998318,101872.30285724622
5,1000,0.9,0.2551068892319568,0,400,0.0,178.88543819998318,82119.50112457204
5,1000,1.0,0.20447827489345136,0,401,0.0,179.11002205348532,97310.92519039146
5,2000,0.0,0.7175242189589531,175,801,0.2184769038701623,220.3433684048603,33593.76239855679
5,2000,0.1,0.2346759210755307,0,799,0.0,357.1033463858887,164288.48061324496
5,2000,0.2,0.1158439558851859,0,800,0.0,357.77087639996637,192359.42725550427
5,2000,0.30000000000000004,0.14540354482828272,0,801,0.0,358.2194857904857,173275.70392569035
5,2000,0.4,0.18568940749514992,0,801,0.0,358.2194857904857,191305.58583587268
5,2000,0.5,0.5086545800423811,0,800,0.0,357.77087639996637,140115.14313096163
5,2000,0.6000000000000001,0.2019884945097284,0,800,0.0,357.77087639996637,199497.54678011726
5,2000,0.7000000000000001,0.22291558438985,0,801,0.0,358.2194857904857,158470.16969270847
5,2000,0.8,0.19784156111539203,0,800,0.0,357.77087639996637,193600.56615574245
5,2000,0.9,0.30424742033994046,0,801,0.0,358.2194857904857,166990.4892026657
5,2000,1.0,0.22958497640146408,0,800,0.0,357.77087639996637,194070.53468178702
