dist_type,n,rep,gamma,min_size,ARI,Hausdorff,Distortion,SSE,n_iter,converged
gaussian,90000,0,1.1384905236320241e-05,1,0.9999111120987655,0.009038594086341337,2.006013567838945,180541.22110550504,3,True
gaussian,90000,0,2.041999954579265e-05,1,0.9999111120987655,0.009038594086341337,2.006013567838945,180541.22110550504,3,True
gaussian,90000,0,3.752787433051549e-05,3,0.9999111120987655,0.009038594086341337,2.006013567838945,180541.22110550504,3,True
gaussian,90000,0,6.896872591053209e-05,6,0.9999111120987655,0.009038594086341337,2.006013567838945,180541.22110550504,3,True
gaussian,90000,0,9.936447578151411e-05,8,0.9999111120987655,0.009038594086341337,2.006013567838945,180541.22110550504,3,True
gaussian,90000,0,0.0001267507216590267,11,0.9999111120987655,0.009038594086341337,2.006013567838945,180541.22110550504,3,True
gaussian,90000,0,0.0014459170896975653,130,0.9999111120987655,0.009038594086341337,2.006013567838945,180541.22110550504,3,True
gaussian,90000,0,0.01649439311204574,1484,0.9999111120987655,0.009038594086341337,2.006013567838945,180541.22110550504,3,True
gaussian,90000,0,0.1881608607251529,16934,0.9999111120987655,0.009038594086341337,2.006013567838945,180541.22110550504,3,True
gaussian,90000,1,1.1384905236320241e-05,1,0.9999111120987655,0.012470414335545046,1.9971951996297665,179747.567966679,3,True
gaussian,90000,1,2.041999954579265e-05,1,0.9999111120987655,0.012470414335545046,1.9971951996297665,179747.567966679,3,True
gaussian,90000,1,3.752787433051549e-05,3,0.9999111120987655,0.012470414335545046,1.9971951996297665,179747.567966679,3,True
gaussian,90000,1,6.896872591053209e-05,6,0.9999111120987655,0.012470414335545046,1.9971951996297665,179747.567966679,3,True
gaussian,90000,1,9.936447578151411e-05,8,0.9999111120987655,0.012470414335545046,1.9971951996297665,179747.567966679,3,True
gaussian,90000,1,0.0001267507216590267,11,0.9999111120987655,0.012470414335545046,1.9971951996297665,179747.567966679,3,True
gaussian,90000,1,0.0014459170896975653,130,0.9999111120987655,0.012470414335545046,1.9971951996297665,179747.567966679,3,True
gaussian,90000,1,0.01649439311204574,1484,0.9999111120987655,0.012470414335545046,1.9971951996297665,179747.567966679,3,True
gaussian,90000,1,0.1881608607251529,16934,0.9999111120987655,0.012470414335545046,1.9971951996297665,179747.567966679,3,True
gaussian,90000,2,1.1384905236320241e-05,1,0.9999111120987655,0.008140986046181782,2.0084514057733434,180760.62651960092,3,True
gaussian,90000,2,2.041999954579265e-05,1,0.9999111120987655,0.008140986046181782,2.0084514057733434,180760.62651960092,3,True
gaussian,90000,2,3.752787433051549e-05,3,0.9999111120987655,0.008140986046181782,2.0084514057733434,180760.62651960092,3,True
gaussian,90000,2,6.896872591053209e-05,6,0.9999111120987655,0.008140986046181782,2.0084514057733434,180760.62651960092,3,True
gaussian,90000,2,9.936447578151411e-05,8,0.9999111120987655,0.008140986046181782,2.0084514057733434,180760.62651960092,3,True
gaussian,90000,2,0.0001267507216590267,11,0.9999111120987655,0.008140986046181782,2.0084514057733434,180760.62651960092,3,True
gaussian,90000,2,0.0014459170896975653,130,0.9999111120987655,0.008140986046181782,2.0084514057733434,180760.62651960092,3,True
gaussian,90000,2,0.01649439311204574,1484,0.9999111120987655,0.008140986046181782,2.0084514057733434,180760.62651960092,3,True
gaussian,90000,2,0.1881608607251529,16934,0.9999111120987655,0.008140986046181782,2.0084514057733434,180760.62651960092,3,True
gaussian,90000,3,1.1384905236320241e-05,1,0.9997333481482799,0.010047679830965816,1.996426283520581,179678.3655168523,5,True
gaussian,90000,3,2.041999954579265e-05,1,0.9997333481482799,0.010047679830965816,1.996426283520581,179678.3655168523,5,True
gaussian,90000,3,3.752787433051549e-05,3,0.9997333481482799,0.010047679830965816,1.996426283520581,179678.3655168523,5,True
gaussian,90000,3,6.896872591053209e-05,6,0.9997333481482799,0.010047679830965816,1.996426283520581,179678.3655168523,5,True
gaussian,90000,3,9.936447578151411e-05,8,0.9997333481482799,0.010047679830965816,1.996426283520581,179678.3655168523,5,True
gaussian,90000,3,0.0001267507216590267,11,0.9997333481482799,0.010047679830965816,1.996426283520581,179678.3655168523,5,True
gaussian,90000,3,0.0014459170896975653,130,0.9997333481482799,0.010047679830965816,1.996426283520581,179678.3655168523,5,True
gaussian,90000,3,0.01649439311204574,1484,0.9997333481482799,0.010047679830965816,1.996426283520581,179678.3655168523,5,True
gaussian,90000,3,0.1881608607251529,16934,0.9997333481482799,0.010047679830965816,1.996426283520581,179678.3655168523,5,True
gaussian,90000,4,1.1384905236320241e-05,1,0.99995555555555,0.009621839059338782,1.9962693086304457,179664.2377767401,3,True
gaussian,90000,4,2.041999954579265e-05,1,0.99995555555555,0.009621839059338782,1.9962693086304457,179664.2377767401,3,True
gaussian,90000,4,3.752787433051549e-05,3,0.99995555555555,0.009621839059338782,1.9962693086304457,179664.2377767401,3,True
gaussian,90000,4,6.896872591053209e-05,6,0.99995555555555,0.009621839059338782,1.9962693086304457,179664.2377767401,3,True
gaussian,90000,4,9.936447578151411e-05,8,0.99995555555555,0.009621839059338782,1.9962693086304457,179664.2377767401,3,True
gaussian,90000,4,0.0001267507216590267,11,0.99995555555555,0.009621839059338782,1.9962693086304457,179664.2377767401,3,True
gaussian,90000,4,0.0014459170896975653,130,0.99995555555555,0.009621839059338782,1.9962693086304457,179664.2377767401,3,True
gaussian,90000,4,0.01649439311204574,1484,0.99995555555555,0.009621839059338782,1.9962693086304457,179664.2377767401,3,True
gaussian,90000,4,0.1881608607251529,16934,0.99995555555555,0.009621839059338782,1.9962693086304457,179664.2377767401,3,True
gaussian,90000,5,1.1384905236320241e-05,1,0.9999111120987655,0.00565051632937107,2.0028664652690065,180257.98187421059,3,True
gaussian,90000,5,2.041999954579265e-05,1,0.9999111120987655,0.00565051632937107,2.0028664652690065,180257.98187421059,3,True
gaussian,90000,5,3.752787433051549e-05,3,0.9999111120987655,0.00565051632937107,2.0028664652690065,180257.98187421059,3,True
gaussian,90000,5,6.896872591053209e-05,6,0.9999111120987655,0.00565051632937107,2.0028664652690065,180257.98187421059,3,True
gaussian,90000,5,9.936447578151411e-05,8,0.9999111120987655,0.00565051632937107,2.0028664652690065,180257.98187421059,3,True
gaussian,90000,5,0.0001267507216590267,11,0.9999111120987655,0.00565051632937107,2.0028664652690065,180257.98187421059,3,True
gaussian,90000,5,0.0014459170896975653,130,0.9999111120987655,0.00565051632937107,2.0028664652690065,180257.98187421059,3,True
gaussian,90000,5,0.01649439311204574,1484,0.9999111120987655,0.00565051632937107,2.0028664652690065,180257.98187421059,3,True
gaussian,90000,5,0.1881608607251529,16934,0.9999111120987655,0.00565051632937107,2.0028664652690065,180257.98187421059,3,True
gaussian,90000,6,1.1384905236320241e-05,1,0.99995555555555,0.007327244492641384,1.9969716865362894,179727.45178826604,2,True
gaussian,90000,6,2.041999954579265e-05,1,0.99995555555555,0.007327244492641384,1.9969716865362894,179727.45178826604,2,True
gaussian,90000,6,3.752787433051549e-05,3,0.99995555555555,0.007327244492641384,1.9969716865362894,179727.45178826604,2,True
gaussian,90000,6,6.896872591053209e-05,6,0.99995555555555,0.007327244492641384,1.9969716865362894,179727.45178826604,2,True
gaussian,90000,6,9.936447578151411e-05,8,0.99995555555555,0.007327244492641384,1.9969716865362894,179727.45178826604,2,True
gaussian,90000,6,0.0001267507216590267,11,0.99995555555555,0.007327244492641384,1.9969716865362894,179727.45178826604,2,True
gaussian,90000,6,0.0014459170896975653,130,0.99995555555555,0.007327244492641384,1.9969716865362894,179727.45178826604,2,True
gaussian,90000,6,0.01649439311204574,1484,0.99995555555555,0.007327244492641384,1.9969716865362894,179727.45178826604,2,True
gaussian,90000,6,0.1881608607251529,16934,0.99995555555555,0.007327244492641384,1.9969716865362894,179727.45178826604,2,True
gaussian,90000,7,1.1384905236320241e-05,1,0.9999111120987655,0.009815842024473567,2.0035006062471825,180315.05456224643,3,True
gaussian,90000,7,2.041999954579265e-05,1,0.9999111120987655,0.009815842024473567,2.0035006062471825,180315.05456224643,3,True
gaussian,90000,7,3.752787433051549e-05,3,0.9999111120987655,0.009815842024473567,2.0035006062471825,180315.05456224643,3,True
gaussian,90000,7,6.896872591053209e-05,6,0.9999111120987655,0.009815842024473567,2.0035006062471825,180315.05456224643,3,True
